movieId,title,genres,
4936,The Bank (1915),Comedy|Short,
7264,The Rink (1916),Comedy|Short,
8133,The Immigrant (1917),Short|Comedy|Drama|Romance,
9968,Broken Blossoms or The Yellow Man and the Girl (1919),Drama|Romance,
11717,The Son of Tarzan (1920),Action|Adventure,
12349,The Kid (1921),Comedy|Drama|Family,
13086,Dr. Mabuse,,
13427,Nanook of the North (1922),Documentary,
13442,Nosferatu,,
14142,The Hunchback of Notre Dame (1923),Drama|Romance,
14538,Three Ages (1923),Comedy,
14872,Entr'acte (1924),Short,
15002,Hot Water (1924),Comedy,
15163,The Navigator (1924),Action|Comedy,
15324,Sherlock Jr. (1924),Comedy|Fantasy,
15361,Stachka (1925),Drama,
15400,The Thief of Bagdad (1924),Adventure|Family|Fantasy|Romance,
15648,Bronenosets Potyomkin (1925),Drama|History,
15864,The Gold Rush (1925),Adventure|Comedy|Family|Romance|Western,
17136,Metropolis (1927),Drama|Sci-Fi,
17196,Nana (1926),Drama|Romance,
17925,The General (1926),Action|Adventure|Comedy|Romance|War,
18455,Sunrise: A Song of Two Humans (1927),Drama|Romance,
18773,The Circus (1928),Comedy|Romance,
19130,The Man Who Laughs (1928),Drama|Horror|Mystery|Romance|Thriller,
19254,La passion de Jeanne d'Arc (1928),Biography|Drama|History,
19421,Steamboat Bill,,
19729,The Broadway Melody (1929),Musical|Romance,
19760,Chelovek s kino-apparatom (1929),Documentary,
19901,Frau im Mond (1929),Comedy|Drama|Romance|Sci-Fi,
20530,Un chien andalou (1929),Short|Fantasy,
20629,All Quiet on the Western Front (1930),Drama|War,
20902,Free and Easy (1930),Comedy|Musical,
20980,Hogaraka ni ayume (1930),Romance|Crime|Drama,
21156,Morocco (1930),Romance|Drama,
21577,L'âge d'or (1930),Comedy|Drama,
21746,Cimarron (1931),Drama|Western,
21749,City Lights (1931),Comedy|Drama|Romance,
21814,Dracula (1931),Horror,
21884,Frankenstein (1931),Horror|Sci-Fi,
22100,M (1931),Crime|Drama|Film-Noir|Thriller,
22279,Private Lives (1931),Comedy|Drama,
22792,The Crowd Roars (1932),Drama|Action,
22913,Freaks (1932),Drama|Horror|Thriller,
22958,Grand Hotel (1932),Drama|Romance,
23249,Murders in the Rue Morgue (1932),Crime|Horror|Mystery,
23266,Night After Night (1932),Drama,
23305,One Way Passage (1932),Drama|Romance,
23349,Polly of the Circus (1932),Comedy|Drama,
23563,Das Testament des Dr. Mabuse (1933),Crime|Fantasy|Horror,
23642,Union Depot (1932),Comedy|Drama|Romance,
23649,Vampyr (1932),Horror,
23685,The Wet Parade (1932),Drama|History|Romance,
23817,Blondie Johnson (1933),Crime|Drama,
23876,Cavalcade (1933),Drama|Romance|War,
